id,tiempo_llegada,tiempo_inicio_servicio,tiempo_fin_servicio,tiempo_espera,tiempo_servicio,ciclo
68,220.4138005697055,297.8689260566384,303.32664421236825,77.45512548693287,5.457718155729905,7
77,244.9121048242537,303.32664421236825,304.33429738355954,58.41453938811455,1.0076531711912702,7
80,270.76071044827626,304.33429738355954,305.0476389280223,33.57358693528329,0.71334154446276,7
81,273.46540730996173,305.0476389280223,305.80775183561855,31.582231618060575,0.7601129075962268,7
82,274.0260014335091,305.80775183561855,308.5953123965891,31.781750402109424,2.7875605609705993,7
84,278.08444691282455,311.0,311.1521660110197,32.915553087175454,0.15216601101971397,7
85,282.6785442913261,311.1521660110197,311.6316122637566,28.473621719693597,0.4794462527369109,7
86,282.9568868718243,311.6316122637566,312.247927243919,28.674725391932327,0.6163149801623503,7
88,286.6553362007298,316.0,320.22840128025217,29.344663799270222,4.2284012802521795,7
90,287.9748380077849,321.0,321.34334927154634,33.02516199221509,0.34334927154633954,7
91,295.34113893080166,321.34334927154634,324.9318137752972,26.002210340744682,3.5884645037508593,7
93,299.02368671847256,326.0,327.8918395666549,26.97631328152744,1.8918395666548782,7
95,304.13090656137405,331.0,331.0157077363824,26.869093438625953,0.015707736382425255,7
96,307.8435654750664,331.0157077363824,334.41338440129175,23.172142261316026,3.3976766649093655,7
83,275.1992776420191,336.0,336.22641797501126,60.800722357980874,0.2264179750112372,7
98,310.1379827452545,336.22641797501126,337.8378122245043,26.088435229756783,1.6113942494930549,7
87,283.64215320664505,337.8378122245043,340.3667600842742,54.19565901785927,2.528947859769847,7
89,287.54915623437597,340.3667600842742,340.9797666596896,52.817603849898205,0.6130065754153937,7
94,303.2218754646995,341.0,345.7148533730342,37.77812453530049,4.714853373034209,7
99,328.624210525231,345.7148533730342,345.9085326997386,17.090642847803224,0.19367932670439192,7
101,333.34766352862437,346.0,346.64780772822036,12.652336471375634,0.6478077282203429,7
97,308.0945953757655,346.64780772822036,348.675137383555,38.553212352454864,2.0273296553346802,7
103,338.0368606288875,372.0,376.31065396403733,33.963139371112504,4.310653964037343,8
104,338.7956950689562,376.31065396403733,376.64643435922073,37.51495889508112,0.33578039518339353,8
92,298.2620808065313,376.64643435922073,381.9615577674449,78.38435355268945,5.315123408224171,8
105,342.1482694620069,381.9615577674449,389.43820419730804,39.81328830543799,7.476646429863141,8
100,332.1617040597109,389.43820419730804,389.4884016292777,57.27650013759711,0.0501974319696743,8
102,336.9770850994436,392.0,392.8074895812457,55.02291490055637,0.8074895812456839,8
108,352.07318998796933,397.0,400.9911426019656,44.92681001203067,3.991142601965571,8
109,353.93342029764034,400.9911426019656,401.6118317025124,47.05772230432524,0.6206891005468215,8
110,353.9658094801024,401.6118317025124,401.8406244157855,47.64602222241001,0.22879271327311912,8
112,362.03543790232715,402.0,405.91222959840604,39.964562097672854,3.9122295984060163,8
114,368.122285305274,407.0,407.7282362007981,38.87771469472602,0.7282362007980809,8
115,369.0791361538531,407.7282362007981,410.9011003675677,38.64910004694502,3.1728641667696333,8
116,369.4407007112286,410.9011003675677,410.9489982370803,41.46039965633912,0.0478978695125637,8
117,374.4895548592634,410.9489982370803,411.37818314069955,36.459443377816854,0.42918490361926376,8
120,386.1242276803909,417.0,419.0515513638136,30.875772319609098,2.0515513638135956,8
107,349.3990268040452,422.0,422.2451077376748,72.6009731959548,0.24510773767477856,8
122,398.63360087726755,427.0,427.61703897597585,28.366399122732446,0.6170389759758472,8
111,354.22656017589924,427.61703897597585,427.8465200447308,73.39047880007661,0.22948106875500013,8
123,404.1825434620653,427.8465200447308,428.9868355187771,23.663976582665498,1.1403154740463204,8
124,405.02116475478954,428.9868355187771,431.59475376405203,23.96567076398759,2.607918245274928,8
125,410.67454038146946,453.0,455.22113799877576,42.325459618530545,2.221137998775784,9
118,376.2279265190931,455.22113799877576,455.3662230650799,78.99321147968266,0.1450850663041733,9
126,411.53536333528683,455.3662230650799,457.54892659490093,43.830859729793076,2.182703529820999,9
119,379.45901438385664,457.54892659490093,460.0931034521284,78.0899122110443,2.5441768572274346,9
127,418.19435976363263,460.0931034521284,460.83315844608563,41.898743688495756,0.7400549939572701,9
106,348.3865240166741,460.83315844608563,461.88298356895444,112.44663442941152,1.0498251228688005,9
128,419.8953255679996,461.88298356895444,462.91265215465586,41.987658000954866,1.0296685857013896,9
121,393.23134579594193,462.91265215465586,463.61362670182103,69.68130635871393,0.7009745471651464,9
129,422.4564448198703,463.61362670182103,469.25260738003084,41.15718188195075,5.638980678209794,9
130,423.1121311417124,469.25260738003084,471.16430794783173,46.140476238318456,1.911700567800867,9
113,367.3362212313107,471.16430794783173,471.8803736060572,103.82808671652106,0.7160656582255006,9
132,437.16634596401343,473.0,473.0008120442262,35.83365403598657,0.0008120442262222039,9
133,441.278660722856,473.0008120442262,473.67711774758703,31.722151321370234,0.6763057033607831,9
134,441.28430308967023,473.67711774758703,475.4120464138127,32.3928146579168,1.7349286662256551,9
135,449.94418840895554,475.4120464138127,476.66297932986294,25.467858004857135,1.250932916050236,9
136,454.45952912906347,476.66297932986294,477.1438166533331,22.203450200799466,0.48083732347015595,9
138,457.2250614450192,478.0,482.6289272449867,20.774938554980793,4.628927244986684,9
139,463.5049790658747,482.6289272449867,482.80614280806356,19.123948179112006,0.17721556307685454,9
131,434.0598973148066,483.0,485.00446457592057,48.94010268519338,2.0044645759205637,9
141,473.09344118815307,485.00446457592057,487.786179187318,11.9110233877675,2.78171461139742,9
137,455.96921247025665,488.0,488.4441131164271,32.03078752974335,0.44411311642709206,9
