tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
944.0,AMARILLO_PEATONAL,3,17,5,0,,,
947.0,VERDE_VEHICULAR_INICIAL,20,18,6,0,0.0,20.0,
967.0,AMARILLO_VEHICULAR,3,18,1,2,,,
970.0,VERDE_PEATONAL,15,18,2,2,,,HAY_PEATONES
985.0,AMARILLO_PEATONAL,3,18,5,1,,,
988.0,VERDE_VEHICULAR_INICIAL,20,19,6,1,0.0,20.0,
1008.0,AMARILLO_VEHICULAR,3,19,2,2,,,
1011.0,VERDE_PEATONAL,15,19,3,2,,,HAY_PEATONES
1026.0,AMARILLO_PEATONAL,3,19,5,1,,,
1029.0,VERDE_VEHICULAR_INICIAL,20,20,6,1,0.0,20.0,
1049.0,AMARILLO_VEHICULAR,3,20,1,2,,,
1052.0,VERDE_PEATONAL,15,20,2,2,,,HAY_PEATONES
1067.0,AMARILLO_PEATONAL,3,20,9,0,,,
1070.0,VERDE_VEHICULAR_INICIAL,20,21,9,1,0.0,20.0,
1090.0,VERDE_VEHICULAR_EXTENSION,5,21,5,2,1.0,25.0,
1095.0,AMARILLO_VEHICULAR,3,21,3,2,,,
1098.0,VERDE_PEATONAL,15,21,4,2,,,HAY_PEATONES
1113.0,AMARILLO_PEATONAL,3,21,8,0,,,
1116.0,VERDE_VEHICULAR_INICIAL,20,22,8,1,0.0,20.0,
1136.0,VERDE_VEHICULAR_EXTENSION,5,22,8,3,1.0,25.0,
1141.0,VERDE_VEHICULAR_EXTENSION,5,22,8,3,2.0,30.0,
1146.0,VERDE_VEHICULAR_EXTENSION,5,22,6,3,3.0,35.0,
1151.0,AMARILLO_VEHICULAR,3,22,4,3,,,
1154.0,VERDE_PEATONAL,15,22,5,3,,,COLA_PEATONAL_ALTA
1169.0,AMARILLO_PEATONAL,3,22,7,0,,,
1172.0,VERDE_VEHICULAR_INICIAL,20,23,7,1,0.0,20.0,
1192.0,VERDE_VEHICULAR_EXTENSION,5,23,5,2,1.0,25.0,
1197.0,AMARILLO_VEHICULAR,3,23,2,4,,,
1200.0,VERDE_PEATONAL,15,23,3,4,,,COLA_PEATONAL_ALTA
1215.0,AMARILLO_PEATONAL,3,23,5,0,,,
1218.0,VERDE_VEHICULAR_INICIAL,20,24,6,1,0.0,20.0,
1238.0,AMARILLO_VEHICULAR,3,24,1,4,,,
1241.0,VERDE_PEATONAL,15,24,2,4,,,COLA_PEATONAL_ALTA
1256.0,AMARILLO_PEATONAL,3,24,5,0,,,
1259.0,VERDE_VEHICULAR_INICIAL,20,25,5,0,0.0,20.0,
1279.0,VERDE_VEHICULAR_EXTENSION,5,25,11,1,1.0,25.0,
1284.0,VERDE_VEHICULAR_EXTENSION,5,25,10,1,2.0,30.0,
1289.0,VERDE_VEHICULAR_EXTENSION,5,25,10,1,3.0,35.0,
1294.0,VERDE_VEHICULAR_EXTENSION,5,25,9,1,4.0,40.0,
1299.0,VERDE_VEHICULAR_EXTENSION,5,25,6,1,5.0,45.0,
1304.0,VERDE_VEHICULAR_EXTENSION,5,25,5,1,6.0,50.0,
1309.0,VERDE_VEHICULAR_EXTENSION,5,25,5,1,7.0,55.0,
1314.0,AMARILLO_VEHICULAR,3,25,3,1,,,
1317.0,VERDE_PEATONAL,15,25,6,1,,,HAY_PEATONES
1332.0,AMARILLO_PEATONAL,3,25,9,0,,,
1335.0,VERDE_VEHICULAR_INICIAL,20,26,9,0,0.0,20.0,
1355.0,AMARILLO_VEHICULAR,3,26,4,3,,,
1358.0,VERDE_PEATONAL,15,26,5,4,,,COLA_PEATONAL_ALTA
1373.0,AMARILLO_PEATONAL,3,26,11,0,,,
1376.0,VERDE_VEHICULAR_INICIAL,20,27,13,0,0.0,20.0,
1396.0,VERDE_VEHICULAR_EXTENSION,5,27,6,6,1.0,25.0,
1401.0,VERDE_VEHICULAR_EXTENSION,5,27,7,6,2.0,30.0,
1406.0,VERDE_VEHICULAR_EXTENSION,5,27,5,6,3.0,35.0,
