tiempo,fase,duracion,ciclo,cola_v,cola_p,extension,tiempo_total,motivo
3167.0,VERDE_VEHICULAR_INICIAL,20,58,11,0,0.0,20.0,
3187.0,AMARILLO_VEHICULAR,3,58,4,3,,,
3190.0,VERDE_PEATONAL,15,58,4,3,,,COLA_PEATONAL_ALTA
3205.0,AMARILLO_PEATONAL,3,58,6,0,,,
3208.0,VERDE_VEHICULAR_INICIAL,20,59,6,0,0.0,20.0,
3228.0,VERDE_VEHICULAR_EXTENSION,5,59,6,0,1.0,25.0,
3233.0,AMARILLO_VEHICULAR,3,59,0,0,,,
3236.0,VERDE_VEHICULAR_INICIAL,20,60,0,0,0.0,20.0,
3256.0,AMARILLO_VEHICULAR,3,60,1,2,,,
3259.0,VERDE_PEATONAL,15,60,2,2,,,HAY_PEATONES
3274.0,AMARILLO_PEATONAL,3,60,7,0,,,
3277.0,VERDE_VEHICULAR_INICIAL,20,61,7,0,0.0,20.0,
3297.0,AMARILLO_VEHICULAR,3,61,2,0,,,
3300.0,VERDE_VEHICULAR_INICIAL,20,62,2,0,0.0,20.0,
3320.0,AMARILLO_VEHICULAR,3,62,4,6,,,
3323.0,VERDE_PEATONAL,15,62,4,6,,,COLA_PEATONAL_ALTA
3338.0,AMARILLO_PEATONAL,3,62,5,1,,,
3341.0,VERDE_VEHICULAR_INICIAL,20,63,7,2,0.0,20.0,
3361.0,VERDE_VEHICULAR_EXTENSION,5,63,9,3,1.0,25.0,
3366.0,VERDE_VEHICULAR_EXTENSION,5,63,8,3,2.0,30.0,
3371.0,VERDE_VEHICULAR_EXTENSION,5,63,10,3,3.0,35.0,
3376.0,VERDE_VEHICULAR_EXTENSION,5,63,11,3,4.0,40.0,
3381.0,VERDE_VEHICULAR_EXTENSION,5,63,10,3,5.0,45.0,
3386.0,VERDE_VEHICULAR_EXTENSION,5,63,11,3,6.0,50.0,
3391.0,VERDE_VEHICULAR_EXTENSION,5,63,11,4,7.0,55.0,
3396.0,AMARILLO_VEHICULAR,3,63,4,4,,,
3399.0,VERDE_PEATONAL,15,63,6,6,,,COLA_PEATONAL_ALTA
3414.0,AMARILLO_PEATONAL,3,63,8,0,,,
3417.0,VERDE_VEHICULAR_INICIAL,20,64,9,0,0.0,20.0,
3437.0,AMARILLO_VEHICULAR,3,64,4,2,,,
3440.0,VERDE_PEATONAL,15,64,5,2,,,HAY_PEATONES
3455.0,AMARILLO_PEATONAL,3,64,10,0,,,
3458.0,VERDE_VEHICULAR_INICIAL,20,65,11,0,0.0,20.0,
3478.0,VERDE_VEHICULAR_EXTENSION,5,65,13,2,1.0,25.0,
3483.0,VERDE_VEHICULAR_EXTENSION,5,65,13,2,2.0,30.0,
3488.0,VERDE_VEHICULAR_EXTENSION,5,65,14,2,3.0,35.0,
3493.0,VERDE_VEHICULAR_EXTENSION,5,65,11,2,4.0,40.0,
3498.0,VERDE_VEHICULAR_EXTENSION,5,65,12,2,5.0,45.0,
3503.0,VERDE_VEHICULAR_EXTENSION,5,65,11,3,6.0,50.0,
3508.0,VERDE_VEHICULAR_EXTENSION,5,65,8,4,7.0,55.0,
3513.0,VERDE_VEHICULAR_EXTENSION,5,65,8,4,8.0,60.0,
3518.0,AMARILLO_VEHICULAR,3,65,4,5,,,
3521.0,VERDE_PEATONAL,15,65,5,5,,,COLA_PEATONAL_ALTA
3536.0,AMARILLO_PEATONAL,3,65,10,0,,,
3539.0,VERDE_VEHICULAR_INICIAL,20,66,11,0,0.0,20.0,
3559.0,VERDE_VEHICULAR_EXTENSION,5,66,9,6,1.0,25.0,
3564.0,VERDE_VEHICULAR_EXTENSION,5,66,6,7,2.0,30.0,
3569.0,VERDE_VEHICULAR_EXTENSION,5,66,5,8,3.0,35.0,
3574.0,AMARILLO_VEHICULAR,3,66,3,9,,,
3577.0,VERDE_PEATONAL,15,66,4,9,,,COLA_PEATONAL_ALTA
3592.0,AMARILLO_PEATONAL,3,66,9,0,,,
3595.0,VERDE_VEHICULAR_INICIAL,20,67,9,1,0.0,20.0,
