tiempo,cola_v,cola_p,fase
3080.0,8,1,VERDE_VEHICULAR
3103.0,3,2,VERDE_PEATONAL
3121.0,5,0,AMARILLO_PEATONAL
3121.0,5,0,VERDE_VEHICULAR
3149.0,6,2,VERDE_PEATONAL
3167.0,11,0,AMARILLO_PEATONAL
3167.0,11,0,VERDE_VEHICULAR
3190.0,4,3,VERDE_PEATONAL
3208.0,6,0,AMARILLO_PEATONAL
3208.0,6,0,VERDE_VEHICULAR
3236.0,0,0,AMARILLO_VEHICULAR
3236.0,0,0,VERDE_VEHICULAR
3259.0,2,2,VERDE_PEATONAL
3277.0,7,0,AMARILLO_PEATONAL
3277.0,7,0,VERDE_VEHICULAR
3300.0,2,0,AMARILLO_VEHICULAR
3300.0,2,0,VERDE_VEHICULAR
3323.0,4,6,VERDE_PEATONAL
3341.0,7,2,AMARILLO_PEATONAL
3341.0,7,2,VERDE_VEHICULAR
3399.0,6,6,VERDE_PEATONAL
3417.0,9,0,AMARILLO_PEATONAL
3417.0,9,0,VERDE_VEHICULAR
3440.0,5,2,VERDE_PEATONAL
3458.0,11,0,AMARILLO_PEATONAL
3458.0,11,0,VERDE_VEHICULAR
3521.0,5,5,VERDE_PEATONAL
3539.0,11,0,AMARILLO_PEATONAL
3539.0,11,0,VERDE_VEHICULAR
3577.0,4,9,VERDE_PEATONAL
3595.0,9,1,AMARILLO_PEATONAL
3595.0,9,1,VERDE_VEHICULAR
