ciclo,n_atendidos,espera_media,espera_std,espera_max,servicio_medio,tiempo_servicio_total
7,5,18.712118859748,15.084340494568957,35.807606609371874,1.6594645990258168,8.297322995129084
8,3,10.953919795077468,9.476028961425683,18.063423816373813,0.40194004655380317,1.2058201396614094
9,3,18.158237858694992,13.466537235429175,29.525709897340448,0.5875967073794842,1.7627901221384525
10,3,26.7721052320382,8.340879555425317,36.27869852847124,1.8400745231092577,5.520223569327773
11,5,15.50004158211765,14.769830239084175,33.01413637726574,0.7649658028347166,3.824829014173583
12,7,15.095492726763382,12.775698474190232,26.804292215356895,1.2554157824677592,8.787910477274314
13,2,16.851341262314634,7.963175456306373,22.48215662724715,0.8017536078071523,1.6035072156143046
14,2,29.52612292985907,1.974775231295633,30.922499887227445,0.07020686481389586,0.14041372962779172
15,1,0.09674925677200008,,0.09674925677200008,0.31482362297375993,0.31482362297375993
16,3,1.6898183410309382,1.5151093361090737,3.4364009439331085,1.2063579916617904,3.619073974985371
17,8,17.373102107282193,13.472492980843892,37.3254364764191,1.1615605125125075,9.29248410010006
18,5,16.294943500554815,12.647274801245745,36.23419677275058,1.1567191244035242,5.783595622017621
19,4,24.302218997369977,10.280288956062192,30.733385524163168,0.4013724500122892,1.6054898000491569
20,5,19.907902995826703,12.161334416247948,34.14952231516372,0.5977108418943488,2.9885542094717437
21,7,13.887115634248582,10.8643494635044,31.079827052676478,1.4364519467029873,10.05516362692091
22,6,19.482838936557943,15.118451590510405,36.66859427133204,1.1715738636997817,7.0294431821986905
23,5,5.029169327126601,9.711845740400129,22.344918854019397,0.5322515631078314,2.661257815539157
24,6,13.767139337803806,10.386705213628257,26.760737406531916,1.0272669430736119,6.163601658441672
25,4,25.325586968536186,13.248182079862282,35.86634075471534,0.9164779532482148,3.665911812992859
26,5,9.563534340603018,6.401252613447145,15.955438829820196,1.1258994607186021,5.629497303593011
27,7,10.536464183272269,13.597378532778572,36.22998446039742,0.507059710699008,3.549417974893056
28,3,16.18591709602803,13.001037975400273,30.752920533720044,0.994415690570282,2.983247071710846
29,6,22.8747425669474,13.50827190286696,34.85907660953512,1.5915839012746682,9.54950340764801
30,5,16.355789691253857,13.713108326340052,35.955769020429216,0.5618829784134844,2.809414892067422
31,4,15.526484760690721,17.065090054274094,34.178218151622104,1.2344041384017759,4.9376165536071035
32,6,12.913383136978837,13.856811765786164,34.75977290941091,0.6139247923545949,3.6835487541275693
33,6,16.46993939612821,13.118621429039509,35.87738142945727,1.2470584237071511,7.482350542242907
34,3,16.633151701512208,16.109602239656738,32.34414152694421,0.6243195109960782,1.8729585329882346
35,5,12.257803559712148,12.143061252875713,29.30131451889588,0.663077513319689,3.315387566598445
36,8,20.275733844635283,13.128829286286441,35.98230296858878,0.8669594459018584,6.935675567214867
37,3,36.10068072106992,2.5772916769639584,37.62883287411796,0.8099575177705282,2.4298725533115846
38,4,23.347969246957803,16.160195588021576,36.566614121537214,0.687232175215158,2.748928700860632
39,5,25.095644496084514,12.831755921927027,35.62565465066109,1.558625336341728,7.79312668170864
40,6,24.67812474735528,15.072647549891036,38.58972893840405,1.3260791631691602,7.956474979014962
41,4,13.80879771442352,11.34608270547692,26.8548208656523,1.0780103659907572,4.312041463963029
42,4,2.749040196929286,4.473749687020281,9.4409374775164,0.6856353402904035,2.742541361161614
43,6,15.117606933602929,9.858320071743115,26.278544724577387,1.4498928538011062,8.699357122806637
44,8,18.5310746733839,7.887492085000289,28.366597290472782,0.9765924917958844,7.812739934367075
45,5,31.230990435858168,4.000294976702261,36.01637820869428,0.7190355767613432,3.595177883806716
46,4,23.433858334129354,11.371649933013293,34.47598472529353,1.866362888949494,7.465451555797976
47,7,15.812762128526433,10.662037013735674,32.03675912842073,0.6689267344039782,4.682487140827847
48,8,20.938339757120445,12.064760160925614,34.542196877802326,0.8351693804087912,6.6813550432703295
49,4,17.69259631989553,16.709131236890915,32.071960666594805,0.5087625587655861,2.0350502350623443
50,5,23.52364572689057,11.378713653784079,30.65554393201046,1.5857960492877887,7.928980246438943
51,2,17.59275796585507,11.921037265859505,26.022204255321867,1.7513377635417797,3.5026755270835594
52,5,24.590224574143214,17.28060304985287,39.31295059860577,0.45681835230767065,2.2840917615383534
53,6,12.08662369871225,11.822415916913444,26.987962158571463,0.637877194746342,3.827263168478052
54,7,18.24045576387295,13.260915033073733,34.909471008424134,0.8442248629635772,5.90957404074504
55,3,8.870828693083544,9.526022096559396,19.25076738050211,0.3487460769656314,1.0462382308968943
56,7,12.497718996872404,9.60633945782452,26.65529317626715,0.7232696388090671,5.06288747166347
57,2,21.2103954378656,6.00587796519771,25.457192474035764,1.022521098218063,2.045042196436126
58,3,10.498826433477157,17.05592471072237,30.19264479096364,1.2524689124201542,3.757406737260463
59,13,13.13142427746292,10.128292770396794,35.072487794599056,0.9398777386605622,12.218410602587308
60,2,4.295477021448733,5.014086322285167,7.840971461391291,0.8757025668739752,1.7514051337479504
61,6,25.731169806660393,6.5444237265655,30.43328779528656,1.7807998490248427,10.684799094149056
62,3,41.18331036724385,2.010096404070627,42.95420524611609,2.3986777402424657,7.196033220727397
63,7,13.103058657166002,12.106226164847934,32.00000369108102,0.5627492096977343,3.9392444678841407
64,2,6.493286749750041,0.22513987815892533,6.65248468431173,0.7709454983880546,1.5418909967761092
65,9,22.13021114876862,10.65095445539391,34.96808555749203,1.5509476846973578,13.95852916227622
66,9,26.728790367033426,10.97807611192622,39.27983985857372,0.9990000341339016,8.991000307205114
67,5,20.48349509022164,11.350802147130219,31.384988660494855,1.1914072300818788,5.957036150409394
68,3,21.126956543196382,5.147434345856599,27.070357073084324,1.1242989333547493,3.3728968000642476
69,4,9.525154877723708,17.854115289781195,36.303030259064144,1.5581281768630482,6.232512707452193
70,8,13.75480971551599,12.508595805379697,35.47450035190559,0.4412320004551526,3.5298560036412208
