ciclo,n_atendidos,espera_media,espera_std,espera_max,servicio_medio,tiempo_servicio_total
7,14,34.486220080136164,10.304138887437295,53.05850946005768,2.0809240583340296,29.132936816676413
8,12,45.625220998772875,6.295528567444417,63.5264491486451,2.2415609850853504,26.898731821024207
9,10,48.4591492023446,2.2902423664842977,51.535122226339695,2.9050522946824513,29.05052294682451
10,14,64.08841812137737,4.690902819932411,70.13232581418771,1.9360350778077786,27.1044910893089
11,19,68.52012378127202,27.896081992908105,158.43186782404314,1.551807185908618,29.484336532263743
12,8,63.96264748474761,1.0630642204793577,65.38770837938864,2.704976989167163,21.639815913337305
13,24,79.52382541969686,11.822248791303641,123.45129256019362,1.2490999096534572,29.978397831682972
14,19,73.90543430154136,21.13871603831672,149.02401333596958,1.4161135386116024,26.906157233620444
15,12,83.52419821335066,17.831344817658163,138.67198118006854,2.1295819034570336,25.554982841484403
16,13,105.66206545038516,14.801458231338197,148.94268507406377,1.9426400764078346,25.25432099330185
17,19,90.31097735369752,22.284752308533296,172.72619202312444,1.5166733075991747,28.81679284438432
18,14,94.67310538394297,24.227109219418388,178.1820621308882,2.113928211305893,29.5949949582825
19,16,104.96960284576723,16.696477159741335,164.53644820046247,1.7871909329051483,28.595054926482373
20,12,109.00785104297904,4.724188170460147,115.97552347229123,2.343283998405962,28.119407980871543
21,12,134.18496845295846,31.990469744840304,210.24195112802602,2.4957257775343042,29.94870933041165
22,9,105.42353291303161,3.7599161575081856,111.18401159198083,2.9145307194202164,26.230776474781948
23,12,117.4783766346289,26.10445702292769,186.57006845327385,2.3195265591691774,27.83431871003013
24,12,105.34761080811548,3.117674241758477,111.7229340956385,2.39389897044603,28.72678764535236
25,11,144.66810460207304,61.8538411052943,330.4740258003052,2.5233485952551447,27.75683454780659
26,14,139.85046636878295,25.502164822613807,226.6396711398911,2.0172158338782196,28.241021674295073
27,16,137.2351519640419,29.83079669132202,243.71505507665302,1.8699998391160155,29.91999742585625
28,9,128.37201521940358,44.13937376953182,245.27351969437177,2.4904414244607684,22.413972820146917
29,17,127.71336613763357,33.27510553793349,254.72713138040763,1.710353449446076,29.07600864058329
30,29,119.57418486530437,31.09041646252383,239.59251493364445,0.9982652909863222,28.949693438603344
31,20,107.5520168913436,25.082663338422904,202.35427803591756,1.4189411743408162,28.378823486816323
32,20,94.02856662918055,23.245206347492186,183.49655190756243,1.3835799275928016,27.671598551856032
33,13,89.51765451704861,23.254362365991422,165.47788237313785,2.210098759244743,28.73128387018166
34,14,93.34766061219436,17.320427154994697,151.2624302063739,1.6881109142496773,23.633552799495483
35,13,105.1801448548607,19.64272938613162,160.04486722596198,2.2667834173149566,29.468184425094435
36,15,112.9621316280806,3.0320964033431834,116.34245751929643,1.8416806266669894,27.62520940000484
37,12,122.83790144944066,28.6223932355855,212.3004943117553,2.13970297897891,25.676435747746922
38,12,133.7067955585272,27.44853706979975,220.67842957092012,2.117777819355336,25.41333383226403
39,13,144.59527700087278,31.952306962043153,246.07112102227075,2.294262989025245,29.825418857328188
40,10,158.58220137788368,32.909714779592946,251.55531798372067,2.91329442959321,29.1329442959321
41,18,146.0485591087746,31.672278120108512,263.4009175507024,1.6445332230063194,29.60159801411375
42,14,146.91356360915884,33.72647467762969,263.1691401686778,2.1152122770502495,29.612971878703494
43,16,150.3504263482593,35.271737317339245,279.5214647673961,1.8280737966898788,29.24918074703806
44,14,154.88055834893913,32.119540841220704,265.6480639524541,2.1007554150035035,29.41057581004905
45,14,166.3058033056918,4.176560713463106,171.42427457713393,2.1234437094146537,29.728211931805152
46,12,193.09392203062075,38.72878691664437,315.1445207648867,2.3700947760290054,28.441137312348065
47,10,190.86858715718068,45.121833048361964,317.92878773761095,2.7749283091746535,27.749283091746534
48,24,180.3099461154045,45.455236081019684,320.24475248321096,1.2152401142603753,29.165762742249008
49,10,171.5882665132195,51.036396470323304,315.63390076662563,2.898104184735693,28.98104184735693
50,19,150.51869674523422,38.99000184126954,306.5333593928917,1.578299305125457,29.987686797383684
51,17,142.53228033047918,35.50857804344364,276.8327895376333,1.660495276747364,28.22841970470519
52,14,134.48142335633779,39.536025074851786,271.45970237622487,1.847850179738116,25.869902516333624
53,10,151.2374065456607,41.32517417586644,268.6131762640557,2.922837158188732,29.22837158188732
54,12,156.50733657837046,30.959080290838067,252.6145598745834,2.4792428820317887,29.750914584381466
55,12,152.2912487062648,35.18005258014217,253.65289741993365,2.084998678007229,25.01998413608675
56,20,148.91470861643927,35.04103893263921,293.82087190718266,1.4832542545141938,29.665085090283874
57,16,140.65933577965654,35.51607739483136,272.2655666699984,1.5965517231297282,25.54482757007565
58,15,140.10892527544962,38.04546263558601,267.1819299091412,1.6657376240074264,24.986064360111396
59,11,136.12322705656882,36.557569848745295,245.93850480104084,2.15163685543529,23.66800540978819
60,18,145.01230856082972,31.510428234593757,269.3331626258823,1.6449341969235305,29.60881554462355
61,17,131.08741025673467,29.775563903061055,235.7946487149984,1.6107819604804066,27.38329332816691
62,14,120.75249691383091,3.960617920578896,129.34878063468932,2.0952191904600532,29.333068666440745
63,18,144.3991669817425,30.189271037436207,261.2167541431668,1.613602427673032,29.044843698114576
64,20,133.35676034057613,52.42428300517228,355.20346648182385,1.4143793671160887,28.287587342321775
65,16,130.1448960769164,40.127155560763924,246.7083716687307,1.8287822348587808,29.260515757740492
66,17,117.10062923018666,5.169564409908428,125.46305928415495,1.6675235731721134,28.347900743925926
67,19,105.68131275996575,41.35283822858567,240.65102942047133,1.5661047062635929,29.755989419008266
68,20,83.47990848066192,27.01156469835024,191.61947282679148,1.4370249185642403,28.740498371284808
69,20,71.89520862905553,21.914894581696633,144.64773762885716,1.4842326001999784,29.684652003999567
70,17,64.61340365786319,9.088637177163704,95.81738514806648,1.7379470874614387,29.545100486844458
71,6,73.30896251417266,4.479055734945565,77.15484098253091,3.6368256204690907,21.820953722814544
